R,G,B,Label
196,198,206,0
234,236,252,0
225,219,226,0
224,227,238,0
232,238,254,0
238,236,241,0
205,194,193,0
255,248,254,0
244,245,247,0
217,211,215,0
213,210,217,0
194,192,193,0
179,178,184,0
219,212,210,0
216,204,205,0
249,238,247,0
220,212,219,0
198,197,198,0
209,212,215,0
180,168,166,0
180,170,164,0
191,183,181,0
194,192,196,0
195,190,190,0
191,186,187,0
174,167,165,0
174,166,163,0
150,143,138,0
171,171,176,0
202,200,199,0
182,184,179,0
197,192,196,0
177,178,184,0
141,141,144,0
210,210,213,0
87,85,73,1
81,82,69,1
120,120,112,1
62,59,51,1
79,82,68,1
33,35,30,1
76,86,81,1
66,77,70,1
40,49,54,1
61,69,79,1
56,65,64,1
25,26,24,1
36,40,37,1
84,97,75,1
117,107,93,1
42,56,45,1
38,54,43,1
28,38,39,1
33,37,33,1
71,71,70,1
64,71,76,1
36,43,45,1
61,67,54,1
57,63,61,1
