R,G,B,Label
173,169,176,0
200,199,200,0
210,210,212,0
223,214,212,0
225,219,226,0
197,189,188,0
198,198,207,0
223,223,236,0
220,226,234,0
234,247,254,0
197,198,205,0
185,186,186,0
109,106,107,0
187,183,184,0
205,204,203,0
189,183,182,0
174,166,159,0
181,175,172,0
199,190,190,0
197,186,189,0
219,217,221,0
235,245,254,0
182,181,184,0
187,187,193,0
178,170,168,0
140,136,137,0
189,189,190,0
170,170,171,0
165,165,171,0
180,180,181,0
193,190,191,0
175,167,163,0
197,191,192,0
174,172,173,0
199,191,199,0
225,218,212,0
227,219,228,0
212,203,208,0
192,194,200,0
214,218,232,0
221,226,240,0
212,221,224,0
200,199,206,0
203,197,203,0
202,192,197,0
194,183,179,0
222,214,213,0
210,212,211,0
218,219,221,0
148,141,129,1
38,43,36,1
38,42,43,1
23,29,29,1
62,78,59,1
28,32,31,1
253,255,254,1
51,54,53,1
45,47,46,1
48,54,54,1
51,57,65,1
62,67,71,1
47,57,57,1
59,70,68,1
50,54,60,1
51,64,68,1
30,40,41,1
92,97,74,1
122,128,120,1
94,103,90,1
91,87,67,1
67,80,62,1
117,116,114,1
104,101,92,1
104,105,95,1
94,105,90,1
97,97,91,1
94,93,85,1
48,50,48,1
93,96,80,1
50,61,59,1
54,62,65,1
50,51,55,1
63,68,79,1
61,68,68,1
41,40,45,1
53,59,51,1
46,59,50,1
78,101,86,1
130,118,107,1
93,90,76,1
132,129,116,1
61,63,54,1
76,90,68,1
39,39,47,1
58,67,64,1
42,43,44,1
46,49,45,1
25,32,28,1
50,63,49,1
52,65,49,1
